ID,Density,Distance,Time,Gender,Age,MaritalStatus,HouseholdSize,CHS,OcR,IncomeT,METT,BLanes,MBus,walking_cycling,M_motocycle,M_car,tricycle_taxi,taxi,Secondary_lower,HND,Degree,Posgraduate
88,0,13,60,0,26,1,6,1,0,1.2,0.05,1,1,0,1,0,0,0,1,0,0,0
89,1,18,65,1,30,1,3,1,0,0.85,0.3,1,0,0,1,0,0,0,1,0,0,0
90,1,14,30,0,22,1,1,0,0,0.7,0.2,0,1,0,0,0,1,0,0,1,0,0
91,1,15,20,1,28,1,2,1,0,3.52,0.5,0,1,1,0,0,0,0,0,0,1,0
92,0,16.5,60,1,27,1,7,3,0,0.7,0.2,0,0,0,1,0,0,0,1,0,0,0
93,1,12.5,35,1,30,0,3,1,0,0.75,0.2,0,0,0,1,0,0,0,0,1,0,0
94,0,2.5,10,1,29,1,1,0,0,0.52,0.12,1,0,0,0,0,1,0,1,0,0,0
95,1,16.8,70,1,30,1,8,3,0,1.25,0.13,0,1,0,1,0,0,0,0,1,0,0
96,1,1,4,1,50,0,8,3,1,1.5,0.5,0,0,1,0,0,0,0,0,1,0,0
97,0,10.5,25,1,37,0,4,2,0,0.85,0.2,0,1,0,1,0,0,0,0,0,0,1
98,0,3,20,1,30,0,5,3,1,3.2,0.3,1,0,0,1,0,0,0,0,0,1,0
99,0,15,10,1,35,1,5,4,1,1.62,0.4,1,1,1,0,0,0,0,1,0,0,0
100,1,10,30,0,29,0,3,1,0,0.65,0.1,1,0,0,1,0,0,0,1,0,0,0
101,0,2.5,10,0,44,0,8,5,1,1.7,0.1,1,1,0,0,1,0,0,0,1,0,0
102,0,8.5,20,1,52,0,8,4,1,5,0.4,1,0,1,0,0,0,0,0,0,1,0
103,1,10,15,1,39,0,6,3,1,2.3,0.8,0,0,1,0,0,0,0,0,1,0,0
104,0,17,50,0,35,0,4,2,0,1.25,0.15,0,1,0,1,0,0,0,0,0,0,1
105,0,5,10,1,32,0,3,0,1,2,0.05,1,0,0,1,0,0,0,0,0,1,0
106,0,5,15,0,29,0,2,0,0,1.2,0.1,1,0,0,1,0,0,0,1,0,0,0
107,0,1,5,1,37,0,5,3,1,2.5,0.5,0,0,1,0,0,0,0,0,0,1,0
108,1,7.5,23,0,28,1,6,2,0,1,0.1,0,1,0,0,1,0,0,1,0,0,0
109,1,14.5,30,1,30,0,3,1,0,0.95,0.15,0,1,0,1,0,0,0,1,0,0,0
110,0,4.2,8,0,29,0,2,0,0,1.2,0.1,0,0,0,1,0,0,0,0,1,0,0
111,0,1.5,5,1,28,0,2,0,0,0.9,0.1,1,0,0,1,0,0,0,1,0,0,0
112,0,3.5,30,1,35,0,7,3,1,1.8,0.12,1,0,0,1,0,0,0,0,1,0,0
113,1,12.8,20,1,31,0,3,1,1,2.3,0.12,1,0,0,1,0,0,0,0,0,1,0
114,0,4,10,1,34,0,6,2,1,1.5,0.05,1,0,0,1,0,0,0,0,1,0,0
115,1,10,15,1,28,1,1,0,0,0.56,0.1,0,0,0,1,0,0,0,0,0,0,1
116,0,8.3,40,1,18,1,8,5,0,0.45,0,1,0,0,0,0,0,1,0,0,0,1
117,0,5.1,12,1,25,1,1,0,0,0.55,0.08,1,0,0,1,0,0,0,1,0,0,0
118,0,3,8,1,37,0,8,3,1,1.7,0.2,1,0,0,1,0,0,0,0,1,0,0
119,1,14.2,25,1,25,1,1,0,0,0.75,0.075,1,0,0,1,0,0,0,0,0,0,1
120,0,7,30,1,31,0,3,0,1,1.99,0.2,0,1,0,1,0,0,0,0,1,0,0
121,1,6.7,15,1,36,0,4,1,1,2.1,0.1,0,1,0,1,0,0,0,0,1,0,0
122,0,6.3,14,1,25,1,9,5,0,0.45,0.025,0,0,0,1,0,0,0,1,0,0,0
123,0,1.2,5,0,29,0,4,2,0,1.3,0.03,1,1,0,1,0,0,0,0,1,0,0
124,0,6.5,15,1,22,1,8,4,1,1.5,1,1,0,1,0,0,0,0,1,0,0,0
125,0,4.5,12,1,23,1,8,4,0,0.6,0,1,1,0,0,0,0,1,0,0,0,1
126,0,15,13,1,37,0,6,3,0,0.85,0.04,0,1,0,1,0,0,0,1,0,0,0
127,1,18,46,1,35,0,6,3,0,1.5,0.8,1,1,0,1,0,0,0,0,1,0,0
128,1,13.6,35,0,30,0,6,3,0,1,0.6,0,0,1,0,0,0,0,0,1,0,0
129,1,5.4,10,0,27,1,5,0,0,1.1,0.1,1,0,0,1,0,0,0,1,0,0,0
130,0,8.2,30,1,38,0,5,2,1,1.923,0.12,1,1,0,0,1,0,0,0,0,1,0
131,0,14,45,1,32,0,3,2,0,1.35,0.1,1,1,0,1,0,0,0,0,1,0,0
132,1,4.6,7,1,30,1,1,0,0,0.65,0.05,1,0,0,1,0,0,0,0,0,0,1
133,1,5,6,1,33,0,3,0,1,5,1,1,0,1,0,0,0,0,0,0,1,0
134,1,1.3,5,1,60,0,14,9,1,4,1,0,0,0,0,0,0,1,0,0,1,0
135,1,3,10,1,34,0,5,2,1,3,0.4,1,1,1,0,0,0,0,0,0,1,0
136,0,4,15,1,35,0,4,1,1,3.2,0.1,0,1,0,0,1,0,0,0,0,1,0
137,0,2,15,1,49,0,16,10,0,0.75,0.1,1,1,0,0,1,0,0,0,0,0,1
138,1,5,45,1,35,0,4,2,0,1.8,0.07,0,1,0,1,0,0,0,0,1,0,0
139,1,5,15,1,49,0,6,3,0,1.5,0.2,1,0,0,1,0,0,0,1,0,0,0
140,1,16,45,1,33,1,3,1,0,0.85,0.06,0,0,0,0,1,0,0,1,0,0,0
141,1,3,15,1,56,0,28,6,1,2.8,0.4,1,1,1,0,0,0,0,0,0,1,0
142,1,4.5,15,0,31,0,4,1,0,1.25,0.3,1,1,0,0,0,1,0,0,1,0,0
143,0,2,15,1,35,0,3,0,0,1.4,0.1,1,0,0,1,0,0,0,0,1,0,0
144,1,5.4,15,1,24,1,1,0,0,1.2,0.15,0,1,0,1,0,0,0,0,1,0,0
145,0,15,35,0,23,1,5,2,0,0.4,0.4,0,1,0,0,1,0,0,1,0,0,0
146,0,1.5,5,1,33,0,4,1,1,1,0.1,1,0,0,0,1,0,0,0,1,0,0
147,0,17,50,1,31,0,3,1,0,0.7,0.6,1,1,1,0,0,0,0,1,0,0,0
148,0,1,5,1,41,0,7,5,0,0.75,0.1,1,0,0,1,0,0,0,0,1,0,0
149,1,8.6,25,0,28,0,2,0,0,1.6,0.15,1,0,1,0,0,0,0,0,1,0,0
150,1,7,20,1,32,0,2,0,1,2.996,0.2,1,0,1,0,0,0,0,0,0,1,0
151,1,10,20,1,35,0,4,2,1,2.5,0.5,1,0,1,0,0,0,0,0,1,0,0
152,0,3,14,1,33,0,2,0,0,1.2,0.2,1,0,0,1,0,0,0,0,1,0,0
153,1,3.5,25,0,27,1,1,0,0,0.4,0,1,0,0,0,0,0,1,1,0,0,0
154,0,0.3,3,1,34,0,6,3,0,1.45,0.1,0,0,0,1,0,0,0,0,1,0,0
155,1,8,20,1,29,0,5,2,1,3,0.2,0,0,0,1,0,0,0,0,0,1,0
156,1,15.5,45,1,38,0,4,1,1,2.2,0.2,1,0,0,1,0,0,0,0,1,0,0
157,1,2,15,1,42,0,8,4,0,0.8,0.2,1,1,0,1,0,0,0,1,0,0,0
158,1,15,30,1,25,1,1,0,0,1.35,0.06,0,0,0,0,1,0,0,0,1,0,0
159,1,8,30,1,26,1,2,0,0,0.45,0.08,0,0,0,1,0,0,0,1,0,0,0
160,1,1,4,1,32,1,1,0,0,0.45,0.07,1,1,0,1,0,0,0,1,0,0,0
161,1,14.3,40,1,38,0,6,2,0,1.8,0.12,1,0,0,1,0,0,0,0,1,0,0
162,1,2,20,1,34,0,4,2,1,3.7,0.6,0,0,0,1,0,0,0,0,0,1,0
163,1,19,45,0,33,0,10,6,0,1.3,0.5,0,0,1,0,0,0,0,0,1,0,0
164,1,1,2,1,41,0,5,3,0,1.3,0.075,1,0,0,1,0,0,0,0,1,0,0
165,0,9,10,1,40,0,6,3,0,0.6,0.07,0,0,0,1,0,0,0,0,0,0,1
166,1,12.5,30,1,35,0,4,1,0,1.5,0.06,1,0,0,1,0,0,0,0,1,0,0
167,1,10,20,1,34,0,5,3,0,0.9,0.1,1,1,0,1,0,0,0,0,1,0,0
168,1,10,25,1,35,0,2,0,1,3.453,0.2,1,1,0,1,0,0,0,0,0,1,0
169,0,15,45,1,39,0,9,4,0,0.783,0.1,1,1,0,1,0,0,0,0,0,0,1
170,0,3.8,10,1,37,1,1,0,0,1.4,0.035,1,1,0,1,0,0,0,0,1,0,0
171,1,11.5,30,1,35,0,3,1,1,1.5,0.15,0,0,0,1,0,0,0,0,0,1,0
172,0,4.9,17,0,24,0,2,0,0,0.85,0.06,0,0,0,0,0,1,0,1,0,0,0
173,1,5.2,18,0,30,0,4,2,0,1.5,0.15,1,1,0,0,0,0,1,1,0,0,0
174,1,9.4,24,1,37,0,6,4,1,1.121,0.08,1,1,0,1,0,0,0,0,1,0,0
175,0,5,20,1,34,1,1,0,0,1.25,0.09,0,0,0,1,0,0,0,1,0,0,0
176,1,10,40,0,28,0,3,1,0,0.85,0.124,1,0,0,0,1,0,0,1,0,0,0
177,1,18.4,55,1,29,0,3,0,1,2,0.07,0,0,0,1,0,0,0,0,1,0,0
178,1,5,15,1,31,1,1,0,0,1.5,0.07,0,0,0,1,0,0,0,1,0,0,0
179,1,3,2,0,35,0,4,2,0,0.98,0.18,0,1,0,0,1,0,0,1,0,0,0
180,0,2,8,1,32,0,3,1,0,1.238,1,1,1,0,1,0,0,0,1,0,0,0
181,1,7.5,16,0,31,0,5,3,0,1.2,0.1,0,1,0,1,0,0,0,0,1,0,0
182,0,15,30,1,25,1,9,6,0,0.75,0.503,1,0,0,1,0,0,0,1,0,0,0
183,1,10.8,28,0,24,1,1,0,0,0.5,0.12,0,1,0,0,0,1,0,1,0,0,0
184,1,8.2,25,0,24,1,6,3,0,0.55,0.08,1,0,0,0,0,1,0,1,0,0,0
185,1,10,30,0,25,1,1,0,0,0.67,0.1,1,1,0,1,0,0,0,1,0,0,0
186,1,8.4,18,1,36,0,4,2,1,3,0.08,0,1,1,0,0,0,0,0,0,1,0
187,1,4,15,0,30,0,8,3,0,1.2,0.3,0,1,0,1,0,0,0,0,1,0,0
188,1,8,40,1,32,0,3,1,0,1.24,0.2,0,0,0,1,0,0,0,0,1,0,0
189,0,1.9,4,1,32,0,2,0,1,1.35,0.3,0,1,0,1,0,0,0,0,1,0,0
190,0,5,15,1,31,1,1,0,0,0.7,0.15,1,0,0,1,0,0,0,0,1,0,0
191,0,7.6,20,1,29,0,5,2,0,0.7,0.05,1,0,0,1,0,0,0,1,0,0,0
192,1,3.4,10,1,30,1,3,1,0,0.6,0.15,1,0,0,1,0,0,0,1,0,0,0
193,0,2.3,10,1,35,0,4,2,1,2.2,0.35,0,0,1,0,0,0,0,0,1,0,0
194,1,4.5,12,0,29,1,1,0,0,0.75,0.07,1,1,0,0,0,1,0,1,0,0,0
195,1,2.5,30,0,28,0,3,0,0,1.5,0.2,0,0,0,1,0,0,0,1,0,0,0
196,0,1.2,6,1,33,1,1,0,0,0.45,0.06,0,1,0,1,0,0,0,1,0,0,0
197,0,7.6,20,0,25,1,6,0,0,1.3,0.1,1,0,0,1,0,0,0,0,1,0,0
198,1,4.5,15,1,29,0,3,0,0,1.78,0.08,0,0,0,1,0,0,0,0,1,0,0
199,1,2.5,6,0,25,0,4,1,0,0.75,0.002,1,1,0,0,1,0,0,1,0,0,0
200,0,5,17,1,32,0,8,4,0,1.7,0.15,0,0,0,1,0,0,0,1,0,0,0
201,0,2,8,1,44,0,13,8,0,0.52,0.05,1,1,0,1,0,0,0,0,0,0,1
202,0,1.5,7,1,30,1,1,0,0,0.88,0.2,1,0,0,1,0,0,0,1,0,0,0
203,1,17,45,0,31,0,4,1,0,0.75,0.1,1,1,0,1,0,0,0,1,0,0,0
204,0,2,8,0,29,0,3,0,0,0.6,0.1,1,1,0,1,0,0,0,1,0,0,0
205,1,7,30,0,29,0,4,2,0,0.75,0.12,1,0,0,1,0,0,0,1,0,0,0
206,1,1,10,0,29,0,3,1,1,1.5,0,1,1,0,0,0,0,1,1,0,0,0
207,1,9,15,1,34,0,4,2,1,3.25,0.3,0,1,0,1,0,0,0,0,0,1,0
208,1,8.5,25,0,32,0,5,3,1,1.52,0.4,1,0,1,0,0,0,0,1,0,0,0
209,0,5,35,1,43,0,10,7,1,1.4,0.4,1,1,1,0,0,0,0,1,0,0,0
210,1,3.4,15,0,28,1,3,1,0,1.5,0.08,0,0,0,1,0,0,0,1,0,0,0
211,0,3.4,15,1,24,1,1,0,0,1.6,0.4,1,0,0,1,0,0,0,1,0,0,0
212,1,5.5,60,1,34,0,2,1,0,1,0.3,1,1,0,1,0,0,0,0,1,0,0
213,1,1.6,15,1,50,0,9,5,1,1.83,0.001,1,1,0,1,0,0,0,0,1,0,0
214,1,5,10,1,28,1,9,5,0,0.85,0.1,1,1,0,1,0,0,0,1,0,0,0
215,1,7.5,30,1,35,0,5,2,0,0.7,0.08,0,1,0,1,0,0,0,1,0,0,0
216,1,6,15,1,32,0,10,6,0,0.9,0.2,1,1,0,1,0,0,0,0,1,0,0
217,1,3.5,15,0,42,0,5,3,1,1.5,0.144,0,1,0,0,1,0,0,0,1,0,0
218,0,5,10,1,55,0,4,2,1,1.5,0.15,1,1,0,1,0,0,0,0,1,0,0
219,1,4,18,1,31,0,3,0,0,1.2,0.3,1,1,0,1,0,0,0,0,1,0,0
220,1,6.5,35,0,28,0,4,1,0,0.6,0,1,1,0,0,0,0,1,1,0,0,0
221,0,6.5,25,0,34,0,3,1,1,1.5,0.4,0,1,0,1,0,0,0,0,1,0,0
222,0,2,12,0,35,0,3,0,0,1,0.06,1,0,0,0,0,1,0,1,0,0,0
223,0,1.5,1,0,25,0,5,3,0,0.79,0.2,1,0,0,1,0,0,0,1,0,0,0
224,1,1,5,0,20,0,6,4,0,0.75,0.15,0,0,0,1,0,0,0,1,0,0,0
225,1,8,22,0,24,0,5,1,0,0.8,0.1,1,1,0,1,0,0,0,1,0,0,0
226,1,5,15,1,25,1,5,1,0,0.8,0.15,1,1,0,1,0,0,0,1,0,0,0
227,1,3,10,1,24,1,1,0,0,0.871,0.15,1,0,0,1,0,0,0,1,0,0,0
228,1,2,15,1,23,1,1,0,0,0.871,0.1,1,0,0,0,0,0,1,1,0,0,0
229,0,5,30,1,25,1,1,0,0,0.871,0.12,1,1,0,0,1,0,0,1,0,0,0
230,0,1,5,1,25,1,1,0,0,0.871,0.25,1,0,0,1,0,0,0,1,0,0,0
231,0,0.5,5,0,32,0,4,2,0,0.9,0.1,0,0,0,1,0,0,0,1,0,0,0
232,1,4,20,1,35,0,5,2,1,1.3,0.15,0,1,0,1,0,0,0,1,0,0,0
233,1,2.5,7,1,35,1,3,1,0,0.78,0.04,1,1,0,1,0,0,0,1,0,0,0
234,0,2.5,15,0,29,1,1,0,1,1.8,0.2,0,0,0,0,1,0,0,0,1,0,0
235,0,2.5,10,0,31,0,6,4,1,1.6,0.4,0,0,1,0,0,0,0,0,1,0,0
236,0,1.5,6,0,29,0,4,1,0,0.94,0.3,1,0,0,1,0,0,0,1,0,0,0
237,1,1,5,1,38,0,5,2,1,1.4,0.1,1,1,0,1,0,0,0,0,1,0,0
238,1,3,12,1,36,0,6,3,0,0.95,0.08,1,0,0,0,0,1,0,1,0,0,0
239,1,5,45,1,25,1,7,4,0,0.65,0.3,0,1,0,0,0,0,1,1,0,0,0
240,0,6,8,1,38,0,5,3,1,1.863,0.23,1,0,0,1,0,0,0,0,1,0,0
241,0,3.4,35,1,34,0,5,2,1,1.523,0.357,0,0,0,1,0,0,0,0,1,0,0
242,0,2.5,10,0,26,1,1,0,0,0.9,0.05,1,1,0,0,0,1,0,1,0,0,0
243,1,0.2,2,1,38,0,5,3,0,0.45,0,1,0,0,0,0,0,1,0,0,0,1
244,1,20,20,0,42,0,5,3,0,0.4,0.08,1,1,0,1,0,0,0,1,0,0,0
245,1,3,15,1,42,0,7,4,0,0.6,0.06,1,1,0,1,0,0,0,0,0,0,1
246,1,3,15,1,25,1,1,0,0,0.75,0.05,1,1,0,1,0,0,0,0,0,0,1
247,1,9,50,1,39,0,3,2,1,2.1,0.4,0,0,1,0,0,0,0,0,1,0,0
248,0,2.5,25,1,45,0,4,2,0,0.6,0.03,1,0,0,0,0,0,1,0,0,0,1
249,0,10,14,1,36,1,1,0,1,2,0.055,0,1,0,1,0,0,0,0,1,0,0
250,1,6.5,20,1,37,0,6,1,1,1.5,0.08,1,1,0,0,1,0,0,1,0,0,0
251,1,15,25,0,29,0,3,0,1,1.85,0.075,0,1,0,1,0,0,0,0,0,1,0
252,1,6,45,1,37,0,5,2,1,2.5,0.3,1,1,1,0,0,0,0,0,0,1,0
253,0,16,20,1,32,1,1,0,0,1,0.1,1,0,0,1,0,0,0,0,1,0,0
254,0,2.4,15,1,37,0,7,4,1,2.85,0.12,1,1,1,0,0,0,0,0,0,1,0
255,0,5,20,1,34,0,6,4,1,1.45,0.1,1,1,0,1,0,0,0,0,1,0,0
256,1,3.5,15,0,28,1,1,0,0,1.2,0.06,0,1,0,1,0,0,0,0,1,0,0
257,0,5,25,0,22,0,2,0,1,0.4,0,1,0,0,0,0,0,1,0,0,0,1
258,0,10,20,1,24,1,1,0,0,0.4,0.1,1,0,0,1,0,0,0,0,0,0,1
259,1,6,16,0,25,1,1,0,0,0.4,0,1,1,0,0,0,0,1,0,0,0,1
260,1,10,20,0,26,1,1,0,0,0.98,0.2,1,0,0,1,0,0,0,1,0,0,0
261,1,4.5,30,1,32,1,1,0,0,1.35,0.07,1,1,0,1,0,0,0,0,1,0,0
262,1,5.4,45,0,30,0,5,3,0,1.15,0.1,0,0,0,1,0,0,0,0,1,0,0
263,1,16,50,0,38,0,6,4,0,1.2,0.2,0,1,0,0,0,0,1,1,0,0,0
264,1,3,10,1,49,0,5,3,1,2.35,0.2,1,1,1,0,0,0,0,0,0,1,0
265,0,5.4,20,1,37,0,4,1,1,1.818,1,0,0,0,1,0,0,0,0,1,0,0
266,1,3,14,0,22,0,2,0,0,0.4,0.05,1,1,0,0,1,0,0,1,0,0,0
267,1,0.15,2,0,47,0,7,3,0,1.5,0.02,1,0,0,0,0,0,1,0,1,0,0
268,1,6.4,15,0,58,1,6,4,1,3.1,0.1,1,1,0,1,0,0,0,1,0,0,0
269,1,5,15,0,40,0,6,3,0,1,0.1,1,0,0,1,0,0,0,0,1,0,0
270,0,15,30,0,36,0,6,4,0,1.2,0.1,1,0,0,1,0,0,0,0,1,0,0
271,0,6,20,0,33,0,7,4,0,0.92,0.05,1,0,0,1,0,0,0,0,1,0,0
272,1,10,30,0,35,0,4,2,0,0.89,0.1,1,0,0,1,0,0,0,0,1,0,0
